x	y	num
6.6848	-6.0352	0
5.2979	-5.0264	0
7.4477	-10.3616	0
5.9274	-5.999	0
11.4265	-13.7199	0
8.1337	-8.6162	0
6.7105	-6.9911	0
8.1596	-10.0249	0
6.1574	-5.3396	0
5.3659	-5.0869	0
9.2613	-8.3239	0
5.301	-5.9628	0
8.0256	-7.564	0
6.8452	-8.9074	0
7.9164	-8.3619	0
5.3771	-5.2729	0
7.0706	-6.8493	0
6.7024	-5.5992	0
10.1069	-9.2384	0
5.2242	-5.9205	0
6.2578	-5.311	0
6.8782	-7.2853	0
7.1394	-4.8027	0
7.194	-7.6101	0
9.5458	-8.459	0
7.0318	-8.0033	0
8.2427	-10.4595	0
5.5609	-5.7322	0
11.3752	-11.443	0
6.313	-7.7509	0
8.2671	-11.0522	0
4.6263	-5.3889	0
6.9664	-8.5565	0
7.6894	-8.4089	0
5.187	-5.6207	0
7.8287	-6.6638	0
5.7021	-6.805	0
13.2611	-17.4687	0
4.845	-5.662	0
8.4344	-8.9085	0
5.1743	-9.701	0
10.4883	-12.2981	0
10.9797	-9.2124	0
5.3134	-5.23	0
5.5082	-5.5827	0
6.4427	-6.5429	0
5.76	-7.7164	0
8.1919	-8.14	0
9.2627	-6.3839	0
6.5941	-6.6665	0
5.3213	-6.72	0
6.9387	-6.4868	0
5.8512	-5.5284	0
12.8494	-14.3339	0
5.4628	-6.1082	0
7.3029	-8.345	0
10.3418	-9.4888	0
10.3336	-8.462	0
12.1012	-11.8244	0
5.5498	-6.2378	0
13.6103	-15.3134	0
9.8778	-10.1581	0
8.5402	-7.4458	0
8.1093	-8.0888	0
6.7937	-8.6241	0
5.0576	-6.5652	0
7.3186	-5.3693	0
5.1055	-6.4328	0
8.0496	-6.083	0
6.9261	-5.9745	0
8.6632	-10.4118	0
7.9028	-7.8025	0
10.6033	-11.8049	0
4.8352	-4.5897	0
7.8364	-8.6828	0
6.6219	-6.2904	0
6.8749	-7.1074	0
10.0179	-8.0576	0
