,gamma
4478,21.442858005949816
4326,21.433995264949896
3954,21.393023574811124
2046,21.381318654213064
5298,21.363699610344643
2041,21.359372963126713
1028,21.35921340235694
5654,21.32862294605826
5753,21.252031610980026
4155,21.21304096264803
1317,21.200306445558905
4823,21.176631969277487
5675,21.162935237979802
3202,21.1541851171555
5667,21.13838391332622
4374,21.13385829029212
5633,21.11535620114631
2217,21.113342191779285
5876,21.093946438944496
5441,21.080108138643705
2139,21.06399147004357
1569,21.05748311318608
4309,21.057294546174678
4065,21.042683434841074
5176,21.034909398993385
3549,21.015292794664223
5844,21.005638271165402
4930,21.00219450708766
5446,20.967568830974344
5786,20.88660485686625
5125,20.858843991539942
5257,20.844394906573836
4140,20.825172204850695
4825,20.822298406394445
1128,20.80732081816879
1787,20.740636815183695
1509,20.713887940320692
1251,20.69280992220481
4069,20.69199961875182
1751,20.669625079048128
4435,20.646359693410584
5842,20.621024761531288
5048,20.62079144520913
1527,20.606784440087118
3916,20.57885822494976
3587,20.509881043601702
1391,20.507746973918756
4837,20.50236129512105
3721,20.483759621108465
4046,20.416898974730945
5047,20.39380130156532
2595,20.37481542978551
5937,20.35231305751974
3942,20.351017332445846
1557,20.318883328398076
2261,20.291026247129327
4787,20.285715711966606
5664,20.260471942974714
3660,20.230828099072262
985,20.204668410198487
1804,20.13100371727366
5296,20.12897693052678
4134,20.12820154903091
3791,20.11150512051163
3583,20.106430936365445
3172,20.099045203533496
4486,20.097694086927554
5839,20.084931288551772
5469,20.037499945278302
5850,20.00615748256877
5524,19.986338623151084
2462,19.98330580579958
5662,19.970099806966616
2707,19.968104491921174
5651,19.967994453097774
3862,19.96444514818752
2183,19.957142234428932
4619,19.956011773303004
1844,19.95008225430894
4521,19.94489983814033
5351,19.94129223050098
1525,19.94121923639754
5721,19.90520335581538
4239,19.90372777631568
1444,19.896323019958718
2205,19.89558598340062
2868,19.85777169413675
1300,19.839310088445796
3055,19.829848360469793
5750,19.823451254753753
3912,19.812497872147958
3161,19.78292077446296
1324,19.766902989623404
5668,19.73567298109756
1332,19.734547387380278
4022,19.711685838739903
5127,19.711481591059457
1050,19.708786985813497
1884,19.682639470996552
3135,19.675025091038574
4905,19.660058302525933
3883,19.643301980407276
632,19.624083945772398
2888,19.618390202264056
1951,19.60807829328492
3251,19.5689746297807
3574,19.562096439471127
5945,19.561800267580345
2388,19.543517949337097
438,19.53906286291602
2297,19.535565794259433
1593,19.529828251063517
1081,19.512635732641073
4212,19.48906025761365
4706,19.479464654481394
4454,19.460639057602496
1320,19.45459522941093
2446,19.426379467148923
5046,19.42370333198498
5399,19.42195590827569
3624,19.42182766059899
4250,19.419980171178292
1343,19.410177539687826
2503,19.391375909609373
3633,19.37935950240326
5756,19.362198438274415
3681,19.3540297681153
1913,19.334872094406045
2698,19.315331407641423
4672,19.313841791440943
3232,19.31086732120536
3545,19.293386198299242
5132,19.292791524544665
4205,19.173614903129423
3758,19.164803801219872
3461,19.16433585569641
1999,19.15770802627456
747,19.150196961334377
4553,19.14433397082423
1053,19.144058227985198
2949,19.135111152609827
5895,19.109823720739644
4220,19.072786175051593
1898,19.05825164760927
2441,19.044715547948375
3191,19.04401311508951
1961,19.025384392913796
5616,18.999063406439586
5713,18.969050214482795
4209,18.959527937513492
5415,18.948327939307436
4927,18.924273635777727
2160,18.92383474915816
5552,18.910330137719438
2075,18.908578759302674
3511,18.88104908746555
3385,18.847250009839442
2237,18.842597649041195
5727,18.825309561179804
1665,18.805667800242656
5086,18.776147450721005
4550,18.76824440486414
1456,18.747925100193203
3276,18.745071033957874
2976,18.724403032701495
5835,18.72206118321736
3536,18.689804339590236
336,18.689593495598157
4157,18.683038175335057
4168,18.67198142678698
5294,18.647591051069902
5643,18.635773982094417
1478,18.633463113810627
4131,18.628157991994055
4079,18.62263732170014
5650,18.59312324968324
1407,18.588674987987442
5210,18.579654077395734
4767,18.555233151633537
1633,18.554253484748305
4047,18.52281392922551
5941,18.500590804809523
4857,18.494818059322082
4016,18.49049866671215
5345,18.450457889262253
3480,18.432826586093004
2337,18.415583349608916
3923,18.406836017165208
5093,18.403614054448003
1784,18.403288045360746
4997,18.39470270640772
637,18.386321997268116
3496,18.381012298795028
5976,18.379599407343033
4958,18.37580733377931
4266,18.36566930533675
