,gamma
1528,21.038293421823703
4840,21.030459944889696
1392,21.02969727382924
5051,20.990803828774627
1558,20.969903520448447
5845,20.96695786607189
3724,20.95943850045073
2598,20.949531667266427
3945,20.91450253257543
5667,20.889906313612645
2262,20.8744642041602
2710,20.871022344564313
4790,20.84766780042471
3663,20.802948236833693
1805,20.802916774697486
985,20.78732093062211
3175,20.783031043712967
5940,20.776910280909274
3794,20.726722064718523
4137,20.65004998419629
1845,20.648496183084536
5853,20.62453541004438
5472,20.55956060907704
3586,20.556792842262904
4489,20.554738650955905
4622,20.52480273064934
5299,20.52273637535172
3865,20.499281390535156
2184,20.488181270813367
2465,20.486812544512155
5654,20.476880697872186
5842,20.44361521102805
1526,20.43976704269029
1445,20.390505583044767
1301,20.385217662778874
4242,20.382995422880658
2871,20.379926215075876
4524,20.376922187794737
3886,20.3756538385394
4908,20.364968796401968
4025,20.33357556278124
5527,20.330400984653686
5671,20.32597374920247
3058,20.322675194023162
3138,20.32030051880967
5665,20.309672187875098
5135,20.306299398817746
2701,20.30095998976953
5354,20.299610508729817
2206,20.291361892050475
3915,20.287277178029008
632,20.271167231695703
3164,20.269916069343562
1325,20.268168439771856
5948,20.26315643231
3577,20.24243350196604
5753,20.239423295455424
1333,20.22019322266155
5724,20.204975007354623
1050,20.19342160120987
2891,20.182670198274028
1885,20.160372891501872
438,20.142105086395976
4709,20.127358146577578
5402,20.114681835330984
4457,20.11154996740878
1952,20.109716478207435
5130,20.096655889260308
3627,20.063112635878795
3254,20.06150079385994
2506,20.028108586911383
4215,20.012611097659263
1594,20.011588164856946
1081,20.00579158756501
2390,19.99456260049746
1321,19.96650857650923
5049,19.964858596884575
1914,19.96293483716555
2299,19.956566877117723
2449,19.929087147635958
1344,19.890473727106894
3684,19.885844480699422
4675,19.882191122119895
3548,19.874042288777275
3235,19.824294724509162
5759,19.819494745149175
3636,19.814510690064438
3464,19.765803087449477
3695,19.751767790401153
3761,19.744286583633794
747,19.69245637943231
4556,19.675449632397573
4223,19.638244362042382
4208,19.606034450867796
4212,19.599766026331878
2000,19.598675013569146
2952,19.586288631171968
1053,19.553966604573226
5716,19.55372886255165
5619,19.530364747019565
2238,19.51462373209328
3194,19.492643055648998
3514,19.47950660196783
5898,19.47687961274154
1962,19.465322045339498
5418,19.464215517917754
1899,19.45396555383217
2444,19.418895187033556
3388,19.411172482262256
5838,19.410555350587664
2161,19.38859400060206
4930,19.34838519477284
5555,19.312120961568517
2076,19.31208601763386
3539,19.30840854415116
5089,19.307349490639016
4160,19.298632223670136
336,19.296735595341428
4553,19.273042792383702
4171,19.27303625314646
1666,19.26972710871979
5297,19.256293219909086
2339,19.235317553702316
1457,19.218370196386953
2979,19.196188353125144
4860,19.17387980088397
3279,19.165766374662176
5730,19.16053626029921
5646,19.126003247830774
4050,19.121521302558175
5623,19.1085797658306
4134,19.10780138676383
5653,19.076189937120535
4019,19.06960822428196
3483,19.05872713886585
1479,19.05404276334097
4082,19.046946334016152
5213,19.036925157174288
1408,19.03090725873686
1173,19.029515763245936
3926,19.009137023043028
4269,18.979138225760654
1634,18.968552200002406
3499,18.92684801963215
1911,18.912037171075802
5096,18.908143048973827
1040,18.890382694122376
637,18.878164085906853
5944,18.86166794686508
4078,18.86093271110194
5979,18.858232476221165
5348,18.857128597483843
5000,18.849105674289515
5687,18.84755743338794
5994,18.824542106285048
5770,18.81829773664881
415,18.81524243476345
2829,18.806194217515422
2145,18.79539719372064
1785,18.78971343743619
3752,18.76352342935839
4961,18.760815106851386
18,18.738738312282454
1959,18.72895354822806
1231,18.723372905079245
1311,18.719166635629264
1724,18.71240884369092
1442,18.70002883339028
2810,18.69412292726359
4186,18.677830029163708
5486,18.67170030714855
4814,18.667652499525786
1791,18.656095673102563
2738,18.643819755195086
1468,18.643296797785446
1765,18.64211410417925
4760,18.634419219742117
